"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"FBtr0089658",60.0150457980737,1.51245992973581,0.229478795382245,6.59084830568545,4.37320542246708e-11,2.30485418585705e-09,"Sh"
"FBtr0301418",26.3174931680098,2.18264383528114,0.331261414317784,6.58888642305711,4.43137602239737e-11,2.31697660599634e-09,"KrT95D"
"FBtr0081406",33.3209862378532,-2.1834411168506,0.332036663497173,-6.57590367838757,4.83585540263517e-11,2.508552393115e-09,"CG17470"
"FBtr0075355",139.147689486039,1.35122717442965,0.206395553578444,6.5467843226385,5.87891690249688e-11,3.02580504325386e-09,"Baldspot"
"FBtr0070541",30.4335951575314,1.83991749288808,0.281140798316339,6.54446990229361,5.97067870599653e-11,3.04921172985311e-09,"CG14265"
"FBtr0075291",28.4928357972069,-3.8507359593207,0.588904741161151,-6.53880957339238,6.20104191491148e-11,3.14249724118745e-09,"CG6652"
"FBtr0081324",33.812572583559,1.49298476716123,0.229324246351316,6.5103659596205,7.49679385446083e-11,3.77014335215175e-09,"CG10631"
"FBtr0078245",107.709842263335,1.05625541118757,0.162314229232833,6.50747267309769,7.64256484411909e-11,3.81433463583762e-09,"CG13252"
"FBtr0305959",28.7967756909421,1.73865074022963,0.267469466952163,6.50037090230036,8.01222212626383e-11,3.96876085472377e-09,"FASN3"
"FBtr0079403",169.98626875824,1.7805990774964,0.274445997533569,6.48797611733655,8.69970660393978e-11,4.24545682272261e-09,"Sem1"
"FBtr0085170",47.7536074187032,-1.62650901569125,0.2506763419914,-6.48848233052265,8.67053229486093e-11,4.24545682272261e-09,"CG3330"
"FBtr0112812",8.74499418644399,3.29604564686,0.508510125296021,6.48176994497653,9.06527952805951e-11,4.39132805373941e-09,"dlg1"
"FBtr0077085",74.6934543756347,1.81021519409281,0.279365518902327,6.47973737491099,9.18824071620133e-11,4.41840363783463e-09,"l(3)psg2"
"FBtr0078928",150.890168579956,1.33790949048408,0.20695448238493,6.46475241833904,1.01464795132995e-10,4.84384108939253e-09,"Fip1"
"FBtr0074804",80.2151225450632,1.12662269007139,0.174510535463668,6.45590071154156,1.07577125523127e-10,5.09869138810332e-09,"pico"
"FBtr0309224",77.3121435971371,1.15763209097515,0.179462148838053,6.45056407978153,1.11434602109067e-10,5.24379399067523e-09,"kek5"
"FBtr0082631",49.9948527387196,-1.60338413304542,0.249083363171936,-6.43713860543407,1.21746751041473e-10,5.68842266568245e-09,"vrs"
